Id,sepalengthcm,sepalwidthcm,petallengthcm,petalwidthcmspecies,species
1,5.1,3.5,1.4,0.2,iris_setosa
2,4.9,3,1.4,0.2,iris_setosa
3,4.7,3.2,1.3,0.2,iris_setosa
4,4.6,3.1,1.5,0.2,iris_setosa
5,5,3.6,1.4,0.2,iris_setosa
6,4.3,3.5,1.2,0.2,iris_versicolor
7,5.1,3,1.4,0.2,iris_versicolor
8,4.9,3.2,1.4,0.2,iris_versicolor
9,4.7,3.1,1.3,0.2,iris_versicolor
10,4.6,3.6,1.5,0.2,iris_versicolor
11,5,3.2,1.4,0.2,iris_virginsica
12,5.1,3.1,1.4,0.2,iris_virginsica
13,4.9,3.6,1.4,0.2,iris_virginsica
14,4.7,3.2,1.3,0.2,iris_virginsica
15,4.6,3.1,1.5,0.2,iris_virginsica
